,coordenates,time,updated,mag
0,,2020-11-13 17:53:46.580,1605311818367,1.1
1,,2020-11-13 17:51:49.160,1605311724470,2.2
2,,2020-11-13 17:49:52.030,1605311603782,1.08
3,,2020-11-13 17:45:47.420,1605311577853,1.4
4,,2020-11-13 17:35:11.867,1605311898881,2
5,,2020-11-13 17:31:56.870,1605310562421,1.8
6,,2020-11-13 17:29:59.127,1605310585927,1.4
7,,2020-11-13 17:28:37.460,1605310378949,1.6
8,,2020-11-13 17:26:59.094,1605311463719,4.7
9,,2020-11-13 17:26:46.030,1605310203653,2.1
10,,2020-11-13 17:20:31.641,1605310083403,1.6
11,,2020-11-13 17:19:47.660,1605310077809,1.5
12,,2020-11-13 17:11:45.780,1605309580181,1.5
13,,2020-11-13 17:03:49.420,1605309179122,1.1
14,,2020-11-13 17:03:11.120,1605309269430,1.65
15,,2020-11-13 17:02:24.810,1605308778235,1.2
16,,2020-11-13 16:59:23.270,1605308555020,2.17000008
17,,2020-11-13 16:52:26.450,1605308140776,1.5
18,,2020-11-13 16:50:34.600,1605308039387,1.9
19,,2020-11-13 16:47:29.480,1605309369044,1.54
20,,2020-11-13 16:45:47.780,1605307898853,1.4
21,,2020-11-13 16:41:58.720,1605307511460,1.7300000199999999
22,,2020-11-13 16:41:01.540,1605308643963,0.8300000000000001
23,,2020-11-13 16:40:12.720,1605307480451,1.7000000000000002
24,,2020-11-13 16:39:32.000,1605307821150,2.19
25,,2020-11-13 16:37:56.480,1605307304104,1.48
26,,2020-11-13 16:33:52.350,1605307182848,2.1
27,,2020-11-13 16:32:22.144,1605307049432,1.5
28,,2020-11-13 16:30:42.020,1605306899608,1.5
29,,2020-11-13 16:25:53.480,1605306718240,0.8
30,,2020-11-13 16:25:38.970,1605306540640,2.1500001
31,,2020-11-13 16:24:24.566,1605306788736,1.4
32,,2020-11-13 16:17:52.550,1605306457599,1
33,,2020-11-13 16:10:03.600,1605306001396,2.3
34,,2020-11-13 16:08:02.644,1605311046403,3.2
35,,2020-11-13 16:07:49.043,1605309759040,2.2
36,,2020-11-13 16:05:38.873,1605305836850,1.3
37,,2020-11-13 16:03:21.740,1605305217429,1.2
